Bloc,Jour,Theme,Italien,Francais,Esempio (IT),Exemple (FR)
Bloc 1 - Socle de terrain,4,Connecteurs logiques I (cause et conséquence),inoltre,de plus,Inoltre il paziente prende anticoagulanti.,"De plus, le patient prend des anticoagulants."
Bloc 1 - Socle de terrain,4,Connecteurs logiques I (cause et conséquence),allora,alors,Allora procediamo con l'ossigeno.,Alors nous procédons avec l'oxygène.
Bloc 1 - Socle de terrain,4,Connecteurs logiques I (cause et conséquence),siccome,"comme, puisque","Siccome è cardiopatico, facciamo subito un ECG.","Comme il est cardiaque, nous faisons tout de suite un ECG."
Bloc 1 - Socle de terrain,4,Connecteurs logiques I (cause et conséquence),cioè,c'est-à-dire,"Ha una dispnea, cioè fatica a respirare.","Il a une dyspnée, c'est-à-dire qu'il peine à respirer."
Bloc 1 - Socle de terrain,4,Connecteurs logiques I (cause et conséquence),oppure,ou bien,Preferisce sedersi oppure restare sdraiato?,Préférez-vous vous asseoir ou bien rester allongé ?
Bloc 1 - Socle de terrain,5,Connecteurs logiques II (chronologie de l'événement),mentre,pendant que,È caduto mentre scendeva le scale.,Il est tombé pendant qu'il descendait les escaliers.
Bloc 1 - Socle de terrain,5,Connecteurs logiques II (chronologie de l'événement),appena,dès que,"Appena arriviamo, avvisiamo la centrale.","Dès que nous arrivons, nous prévenons la centrale."
Bloc 1 - Socle de terrain,5,Connecteurs logiques II (chronologie de l'événement),finché,jusqu'à ce que,Tenga premuto finché non le dico di lasciare.,Maintenez la pression jusqu'à ce que je vous dise de lâcher.
Bloc 1 - Socle de terrain,5,Connecteurs logiques II (chronologie de l'événement),prima di,avant de,"Prima di muoverla, le mettiamo il collare.","Avant de vous bouger, nous vous mettons le collier."
Bloc 1 - Socle de terrain,5,Connecteurs logiques II (chronologie de l'événement),dopo,après,Dopo la caduta ha perso conoscenza?,"Après la chute, a-t-il perdu connaissance ?"
Bloc 1 - Socle de terrain,5,Connecteurs logiques II (chronologie de l'événement),da quando,depuis quand,Da quando ha questo dolore?,Depuis quand avez-vous cette douleur ?
Bloc 1 - Socle de terrain,5,Connecteurs logiques II (chronologie de l'événement),ogni volta che,chaque fois que,Ogni volta che respira profondamente il dolore aumenta?,"Chaque fois que vous respirez profondément, la douleur augmente ?"
Bloc 1 - Socle de terrain,5,Connecteurs logiques II (chronologie de l'événement),improvvisamente,soudainement,Il dolore è iniziato improvvisamente.,La douleur a commencé soudainement.
Bloc 1 - Socle de terrain,5,Connecteurs logiques II (chronologie de l'événement),poco fa,il y a peu,Ha vomitato poco fa.,Il a vomi il y a peu.
Bloc 1 - Socle de terrain,5,Connecteurs logiques II (chronologie de l'événement),da allora,depuis lors,È caduto ieri e da allora non cammina più.,Il est tombé hier et depuis lors il ne marche plus.
Bloc 1 - Socle de terrain,6,Orientation et espace I (positions relatives),davanti,devant,L'autoambulanza è davanti al portone.,L'ambulance est devant la porte d'entrée.
Bloc 1 - Socle de terrain,6,Orientation et espace I (positions relatives),dietro,derrière,"Il paziente è dietro la casa, in giardino.","Le patient est derrière la maison, dans le jardin."
Bloc 1 - Socle de terrain,6,Orientation et espace I (positions relatives),sopra,"au-dessus, sur",La bombola è sopra la barella.,La bouteille est au-dessus du brancard.
Bloc 1 - Socle de terrain,6,Orientation et espace I (positions relatives),sotto,"sous, en dessous",Il materiale di riserva è sotto la barella.,Le matériel de réserve est sous le brancard.
Bloc 1 - Socle de terrain,6,Orientation et espace I (positions relatives),accanto a,à côté de,Si metta accanto alla testa del paziente.,Place-toi à côté de la tête du patient.
Bloc 1 - Socle de terrain,6,Orientation et espace I (positions relatives),in mezzo a,au milieu de,Il ferito è in mezzo alla strada.,Le blessé est au milieu de la route.
Bloc 1 - Socle de terrain,6,Orientation et espace I (positions relatives),a destra,à droite,"Il dolore è a destra, sotto le costole.","La douleur est à droite, sous les côtes."
Bloc 1 - Socle de terrain,6,Orientation et espace I (positions relatives),a sinistra,à gauche,Gira a sinistra dopo il semaforo.,Tourne à gauche après le feu.
Bloc 1 - Socle de terrain,6,Orientation et espace I (positions relatives),dritto,tout droit,Vada dritto fino in fondo al corridoio.,Allez tout droit jusqu'au bout du couloir.
Bloc 1 - Socle de terrain,6,Orientation et espace I (positions relatives),in fondo,au fond,Il bagno è in fondo al corridoio.,La salle de bain est au fond du couloir.
Bloc 1 - Socle de terrain,7,Orientation et espace II (accès au patient dans le bâtiment),il piano,l'étage,Il paziente è al terzo piano senza ascensore.,Le patient est au troisième étage sans ascenseur.
Bloc 1 - Socle de terrain,7,Orientation et espace II (accès au patient dans le bâtiment),l'ascensore,l'ascenseur,L'ascensore è troppo stretto per la barella.,L'ascenseur est trop étroit pour le brancard.
Bloc 1 - Socle de terrain,7,Orientation et espace II (accès au patient dans le bâtiment),le scale,les escaliers,Facciamo le scale con la sedia portantina.,Nous prenons les escaliers avec la chaise de transport.
Bloc 1 - Socle de terrain,7,Orientation et espace II (accès au patient dans le bâtiment),il pianerottolo,le palier,Lo stabilizziamo sul pianerottolo.,Nous le stabilisons sur le palier.
Bloc 1 - Socle de terrain,7,Orientation et espace II (accès au patient dans le bâtiment),il corridoio,le couloir,La camera è la seconda a destra nel corridoio.,La chambre est la deuxième à droite dans le couloir.
Bloc 1 - Socle de terrain,7,Orientation et espace II (accès au patient dans le bâtiment),il portone,la porte d'entrée de l'immeuble,"Ci apra il portone, per favore.","Ouvrez-nous la porte d'entrée, s'il vous plaît."
Bloc 1 - Socle de terrain,7,Orientation et espace II (accès au patient dans le bâtiment),il campanello,la sonnette,Ho suonato il campanello ma non risponde nessuno.,J'ai sonné mais personne ne répond.
Bloc 1 - Socle de terrain,7,Orientation et espace II (accès au patient dans le bâtiment),il cortile,la cour,Posteggiamo l'autoambulanza nel cortile.,Nous garons l'ambulance dans la cour.
Bloc 1 - Socle de terrain,7,Orientation et espace II (accès au patient dans le bâtiment),il posteggio,la place de parc (helvétisme),Non c'è posteggio davanti allo stabile.,Il n'y a pas de place de parc devant l'immeuble.
Bloc 1 - Socle de terrain,7,Orientation et espace II (accès au patient dans le bâtiment),lo stabile,l'immeuble,Lo stabile ha il codice sul citofono.,L'immeuble a un code sur l'interphone.
Bloc 1 - Socle de terrain,8,Le temps et la durée,"adesso, ora",maintenant,Come si sente adesso?,Comment vous sentez-vous maintenant ?
Bloc 1 - Socle de terrain,8,Le temps et la durée,subito,tout de suite,Partiamo subito verso il Pronto Soccorso.,Nous partons tout de suite vers les urgences.
Bloc 1 - Socle de terrain,8,Le temps et la durée,tra poco,dans un instant,Tra poco le misuro di nuovo la pressione.,Dans un instant je reprends votre tension.
Bloc 1 - Socle de terrain,8,Le temps et la durée,da quanto tempo,depuis combien de temps,Da quanto tempo ha questi sintomi?,Depuis combien de temps avez-vous ces symptômes ?
Bloc 1 - Socle de terrain,8,Le temps et la durée,fa (due ore fa),il y a (deux heures),Il dolore è iniziato due ore fa.,La douleur a commencé il y a deux heures.
Bloc 1 - Socle de terrain,8,Le temps et la durée,stamattina,ce matin,Stamattina si è sentito male alzandosi.,Ce matin il s'est senti mal en se levant.
Bloc 1 - Socle de terrain,8,Le temps et la durée,stanotte,cette nuit,Stanotte non è riuscito a dormire per la tosse.,Cette nuit il n'a pas pu dormir à cause de la toux.
Bloc 1 - Socle de terrain,8,Le temps et la durée,ieri sera,hier soir,Ieri sera ha vomitato tre volte.,Hier soir il a vomi trois fois.
Bloc 1 - Socle de terrain,8,Le temps et la durée,da giorni,depuis des jours,Ha la febbre da tre giorni.,Il a de la fièvre depuis trois jours.
Bloc 1 - Socle de terrain,8,Le temps et la durée,ancora,"encore, toujours",Ha ancora male al petto?,Avez-vous encore mal à la poitrine ?
Bloc 1 - Socle de terrain,9,Adjectifs fréquents I (état clinique),grave,grave,Il paziente è in condizioni gravi.,Le patient est dans un état grave.
Bloc 1 - Socle de terrain,9,Adjectifs fréquents I (état clinique),lieve,léger,Si tratta di un trauma lieve.,Il s'agit d'un traumatisme léger.
Bloc 1 - Socle de terrain,9,Adjectifs fréquents I (état clinique),forte,"fort, intense",Ha un dolore molto forte al torace.,Il a une douleur très forte au thorax.
Bloc 1 - Socle de terrain,9,Adjectifs fréquents I (état clinique),debole,faible,Il polso è debole e filiforme.,Le pouls est faible et filant.
Bloc 1 - Socle de terrain,9,Adjectifs fréquents I (état clinique),freddo,froid,Ha le mani fredde e sudate.,Il a les mains froides et moites.
Bloc 1 - Socle de terrain,9,Adjectifs fréquents I (état clinique),caldo,chaud,"La fronte è calda, ha la febbre.","Le front est chaud, il a de la fièvre."
Bloc 1 - Socle de terrain,9,Adjectifs fréquents I (état clinique),duro,dur,L'addome è duro alla palpazione.,L'abdomen est dur à la palpation.
Bloc 1 - Socle de terrain,9,Adjectifs fréquents I (état clinique),molle,"souple, mou",L'addome è molle e trattabile.,L'abdomen est souple et dépressible.
Bloc 1 - Socle de terrain,9,Adjectifs fréquents I (état clinique),gonfio,enflé,La caviglia destra è gonfia.,La cheville droite est enflée.
Bloc 1 - Socle de terrain,9,Adjectifs fréquents I (état clinique),rigido,raide,Ha la nuca rigida.,Il a la nuque raide.
Bloc 1 - Socle de terrain,10,Adjectifs fréquents II (aspect et comportement),pallido,pâle,Il paziente è pallido e sudato.,Le patient est pâle et en sueur.
Bloc 1 - Socle de terrain,10,Adjectifs fréquents II (aspect et comportement),sudato,en sueur,"È sudato freddo, sospettiamo uno shock.","Il a des sueurs froides, nous suspectons un choc."
Bloc 1 - Socle de terrain,10,Adjectifs fréquents II (aspect et comportement),cianotico,cyanosé,Ha le labbra cianotiche.,Il a les lèvres cyanosées.
Bloc 1 - Socle de terrain,10,Adjectifs fréquents II (aspect et comportement),confuso,confus,È confuso e non sa che giorno è.,Il est confus et ne sait pas quel jour on est.
Bloc 1 - Socle de terrain,10,Adjectifs fréquents II (aspect et comportement),agitato,agité,Il paziente è agitato e non collabora.,Le patient est agité et ne coopère pas.
Bloc 1 - Socle de terrain,10,Adjectifs fréquents II (aspect et comportement),tranquillo,calme,"Stia tranquillo, siamo qui per aiutarla.","Restez calme, nous sommes là pour vous aider."
Bloc 1 - Socle de terrain,10,Adjectifs fréquents II (aspect et comportement),cosciente,conscient,Il paziente è cosciente e orientato.,Le patient est conscient et orienté.
Bloc 1 - Socle de terrain,10,Adjectifs fréquents II (aspect et comportement),incosciente,inconscient,L'abbiamo trovato incosciente sul pavimento.,Nous l'avons trouvé inconscient sur le sol.
Bloc 1 - Socle de terrain,10,Adjectifs fréquents II (aspect et comportement),sonnolento,somnolent,È sonnolento ma risvegliabile.,Il est somnolent mais réveillable.
Bloc 1 - Socle de terrain,10,Adjectifs fréquents II (aspect et comportement),collaborante,coopérant,Il paziente è collaborante e risponde a tutte le domande.,Le patient est coopérant et répond à toutes les questions.
Bloc 1 - Socle de terrain,11,"Quantité, intensité, fréquence",molto,"beaucoup, très",Ha perso molto sangue.,Il a perdu beaucoup de sang.
Bloc 1 - Socle de terrain,11,"Quantité, intensité, fréquence",poco,peu,Ha bevuto poco da ieri.,Il a peu bu depuis hier.
Bloc 1 - Socle de terrain,11,"Quantité, intensité, fréquence",abbastanza,assez,Respira abbastanza bene con l'ossigeno.,Il respire assez bien avec l'oxygène.
Bloc 1 - Socle de terrain,11,"Quantité, intensité, fréquence",troppo,trop,La pressione è troppo bassa.,La tension est trop basse.
Bloc 1 - Socle de terrain,11,"Quantité, intensité, fréquence",un po',un peu,Sento un po' di nausea.,Je ressens un peu de nausée.
Bloc 1 - Socle de terrain,11,"Quantité, intensité, fréquence",spesso,souvent,Le capita spesso di avere le vertigini?,Vous arrive-t-il souvent d'avoir des vertiges ?
Bloc 1 - Socle de terrain,11,"Quantité, intensité, fréquence",raramente,rarement,Raramente ha crisi così forti.,Il a rarement des crises aussi fortes.
Bloc 1 - Socle de terrain,11,"Quantité, intensité, fréquence",sempre,toujours,Prende sempre le sue medicine la mattina?,Prenez-vous toujours vos médicaments le matin ?
Bloc 1 - Socle de terrain,11,"Quantité, intensité, fréquence",mai,jamais,Non ha mai avuto un infarto?,Vous n'avez jamais eu d'infarctus ?
Bloc 1 - Socle de terrain,11,"Quantité, intensité, fréquence",di solito,d'habitude,Di solito la pressione quanto le fa?,"D'habitude, votre tension est à combien ?"
Bloc 1 - Socle de terrain,12,Les interrogatifs,chi,qui,Chi ha chiamato il 144?,Qui a appelé le 144 ?
Bloc 1 - Socle de terrain,12,Les interrogatifs,che cosa,"quoi, que",Che cosa è successo esattamente?,Que s'est-il passé exactement ?
Bloc 1 - Socle de terrain,12,Les interrogatifs,quando,quand,Quando sono iniziati i sintomi?,Quand les symptômes ont-ils commencé ?
Bloc 1 - Socle de terrain,12,Les interrogatifs,dove,où,Dove sente il dolore?,Où ressentez-vous la douleur ?
Bloc 1 - Socle de terrain,12,Les interrogatifs,come,comment,"Come si chiama, signora?","Comment vous appelez-vous, madame ?"
Bloc 1 - Socle de terrain,12,Les interrogatifs,quanto,combien,"Quanto pesa, più o meno?","Combien pesez-vous, à peu près ?"
Bloc 1 - Socle de terrain,12,Les interrogatifs,quale,quel,Quale braccio non riesce a muovere?,Quel bras n'arrivez-vous pas à bouger ?
Bloc 1 - Socle de terrain,12,Les interrogatifs,da quanto,depuis combien de temps,Da quanto è sdraiato per terra?,Depuis combien de temps est-il allongé par terre ?
Bloc 1 - Socle de terrain,12,Les interrogatifs,Quanti anni ha?,Quel âge avez-vous ?,Quanti anni ha il paziente?,Quel âge a le patient ?
Bloc 1 - Socle de terrain,12,Les interrogatifs,È mai successo prima?,Est-ce déjà arrivé ?,Le è mai successo prima?,Cela vous est-il déjà arrivé ?
Bloc 1 - Socle de terrain,13,Politesse et forme de courtoisie,Lei,vous (vouvoiement),Lei ha allergie a qualche medicamento?,Avez-vous des allergies à un médicament ?
Bloc 1 - Socle de terrain,13,Politesse et forme de courtoisie,"il signore, la signora","monsieur, madame","Signora, mi sente?","Madame, vous m'entendez ?"
Bloc 1 - Socle de terrain,13,Politesse et forme de courtoisie,prego,je vous en prie,"Prego, si accomodi sulla barella.","Je vous en prie, installez-vous sur le brancard."
Bloc 1 - Socle de terrain,13,Politesse et forme de courtoisie,grazie mille,merci beaucoup,Grazie mille per la collaborazione.,Merci beaucoup pour votre coopération.
Bloc 1 - Socle de terrain,13,Politesse et forme de courtoisie,Mi permetta,Permettez-moi,Mi permetta di guardarle la gamba.,Permettez-moi de regarder votre jambe.
Bloc 1 - Socle de terrain,13,Politesse et forme de courtoisie,Le dispiace se...,Cela vous dérange si...,Le dispiace se le apro la camicia?,Cela vous dérange si j'ouvre votre chemise ?
Bloc 1 - Socle de terrain,13,Politesse et forme de courtoisie,Posso...?,Puis-je... ?,Posso misurarle la pressione?,Puis-je prendre votre tension ?
Bloc 1 - Socle de terrain,13,Politesse et forme de courtoisie,Va bene così,C'est bien comme ça,"Va bene così, non si sforzi.","C'est bien comme ça, ne forcez pas."
Bloc 1 - Socle de terrain,13,Politesse et forme de courtoisie,Non si preoccupi,Ne vous inquiétez pas,"Non si preoccupi, ci pensiamo noi.","Ne vous inquiétez pas, on s'en occupe."
Bloc 1 - Socle de terrain,13,Politesse et forme de courtoisie,Scusi il disturbo,Désolé du dérangement,"Scusi il disturbo, devo farle ancora due domande.","Désolé du dérangement, je dois encore vous poser deux questions."
Bloc 1 - Socle de terrain,14,Verbes modaux et structures de service,potere,pouvoir,Può muovere le dita del piede?,Pouvez-vous bouger les orteils ?
Bloc 1 - Socle de terrain,14,Verbes modaux et structures de service,dovere,devoir,Deve venire con noi in ospedale.,Vous devez venir avec nous à l'hôpital.
Bloc 1 - Socle de terrain,14,Verbes modaux et structures de service,volere,vouloir,Vuole che avvisiamo qualcuno della famiglia?,Voulez-vous que nous prévenions quelqu'un de la famille ?
Bloc 1 - Socle de terrain,14,Verbes modaux et structures de service,riuscire a,"arriver à, parvenir à",Riesce a respirare meglio adesso?,Arrivez-vous à mieux respirer maintenant ?
Bloc 1 - Socle de terrain,14,Verbes modaux et structures de service,farcela,y arriver,Ce la fa a stare seduto da solo?,Arrivez-vous à rester assis tout seul ?
Bloc 1 - Socle de terrain,14,Verbes modaux et structures de service,avere bisogno di,avoir besoin de,Ha bisogno di aiuto per alzarsi?,Avez-vous besoin d'aide pour vous lever ?
Bloc 1 - Socle de terrain,14,Verbes modaux et structures de service,bisogna,il faut,Bisogna portarlo subito in Pronto Soccorso.,Il faut l'emmener tout de suite aux urgences.
Bloc 1 - Socle de terrain,14,Verbes modaux et structures de service,è necessario,il est nécessaire,È necessario mettere una via venosa.,Il est nécessaire de poser une voie veineuse.
Bloc 1 - Socle de terrain,14,Verbes modaux et structures de service,provare a,essayer de,Provi a stringere le mie dita.,Essayez de serrer mes doigts.
Bloc 1 - Socle de terrain,14,Verbes modaux et structures de service,smettere di,arrêter de,Ha smesso di parlare all'improvviso.,Il a arrêté de parler d'un coup.
Bloc 1 - Socle de terrain,15,Verbes pronominaux de terrain,sentirsi,se sentir,Come si sente in questo momento?,Comment vous sentez-vous en ce moment ?
Bloc 1 - Socle de terrain,15,Verbes pronominaux de terrain,farsi male,se faire mal,Si è fatta male alla testa cadendo?,Vous vous êtes fait mal à la tête en tombant ?
Bloc 1 - Socle de terrain,15,Verbes pronominaux de terrain,muoversi,bouger,"Non si muova, arriviamo noi.","Ne bougez pas, nous venons à vous."
Bloc 1 - Socle de terrain,15,Verbes pronominaux de terrain,svegliarsi,se réveiller,Si è svegliato da solo dopo la crisi?,S'est-il réveillé tout seul après la crise ?
Bloc 1 - Socle de terrain,15,Verbes pronominaux de terrain,addormentarsi,s'endormir,Si è addormentato e non si è più svegliato.,Il s'est endormi et ne s'est plus réveillé.
Bloc 1 - Socle de terrain,15,Verbes pronominaux de terrain,svenire,s'évanouir,È svenuta in cucina davanti al marito.,Elle s'est évanouie dans la cuisine devant son mari.
Bloc 1 - Socle de terrain,15,Verbes pronominaux de terrain,lamentarsi,se plaindre,Si lamenta di un dolore alla schiena.,Il se plaint d'une douleur au dos.
Bloc 1 - Socle de terrain,15,Verbes pronominaux de terrain,calmarsi,se calmer,"Si calmi, adesso respiriamo insieme.","Calmez-vous, maintenant nous respirons ensemble."
Bloc 1 - Socle de terrain,15,Verbes pronominaux de terrain,girarsi,se retourner,"Si giri sul fianco destro, la aiuto io.","Retournez-vous sur le flanc droit, je vous aide."
Bloc 1 - Socle de terrain,15,Verbes pronominaux de terrain,spogliarsi,se déshabiller,Deve spogliarsi solo fino alla vita.,Vous devez vous déshabiller seulement jusqu'à la taille.
Bloc 1 - Socle de terrain,16,Raconter l'événement (passé composé de terrain),è successo,c'est arrivé,Che cosa è successo prima del malore?,Que s'est-il passé avant le malaise ?
Bloc 1 - Socle de terrain,16,Raconter l'événement (passé composé de terrain),è caduto,il est tombé,È caduto dalla scala da circa due metri.,Il est tombé de l'échelle d'environ deux mètres.
Bloc 1 - Socle de terrain,16,Raconter l'événement (passé composé de terrain),ha battuto la testa,il s'est cogné la tête,Ha battuto la testa contro il termosifone?,S'est-il cogné la tête contre le radiateur ?
Bloc 1 - Socle de terrain,16,Raconter l'événement (passé composé de terrain),ha perso conoscenza,il a perdu connaissance,Ha perso conoscenza per qualche secondo.,Il a perdu connaissance pendant quelques secondes.
Bloc 1 - Socle de terrain,16,Raconter l'événement (passé composé de terrain),si è sentito male,il s'est senti mal,Si è sentito male mentre camminava.,Il s'est senti mal pendant qu'il marchait.
Bloc 1 - Socle de terrain,16,Raconter l'événement (passé composé de terrain),ha vomitato,il a vomi,Ha vomitato due volte dopo la caduta.,Il a vomi deux fois après la chute.
Bloc 1 - Socle de terrain,16,Raconter l'événement (passé composé de terrain),ha avuto una crisi,il a fait une crise,Ha avuto una crisi convulsiva di due minuti.,Il a fait une crise convulsive de deux minutes.
Bloc 1 - Socle de terrain,16,Raconter l'événement (passé composé de terrain),è scivolato,il a glissé,È scivolato sul pavimento bagnato.,Il a glissé sur le sol mouillé.
Bloc 1 - Socle de terrain,16,Raconter l'événement (passé composé de terrain),si è tagliato,il s'est coupé,Si è tagliato la mano con un coltello.,Il s'est coupé la main avec un couteau.
Bloc 1 - Socle de terrain,16,Raconter l'événement (passé composé de terrain),l'abbiamo trovato,nous l'avons trouvé,L'abbiamo trovato per terra in bagno.,Nous l'avons trouvé par terre dans la salle de bain.
Bloc 1 - Socle de terrain,17,Négation et restriction,non,ne... pas,Non riesco a sentire il polso radiale.,Je n'arrive pas à sentir le pouls radial.
Bloc 1 - Socle de terrain,17,Négation et restriction,mai,jamais,Non ha mai avuto problemi di cuore.,Il n'a jamais eu de problèmes cardiaques.
Bloc 1 - Socle de terrain,17,Négation et restriction,"niente, nulla",rien,Non ha mangiato niente da ieri sera.,Il n'a rien mangé depuis hier soir.
Bloc 1 - Socle de terrain,17,Négation et restriction,nessuno,personne,Non c'era nessuno in casa con lui.,Il n'y avait personne à la maison avec lui.
Bloc 1 - Socle de terrain,17,Négation et restriction,"neanche, nemmeno",même pas,Non riesce neanche a stare in piedi.,Il n'arrive même pas à tenir debout.
Bloc 1 - Socle de terrain,17,Négation et restriction,non... più,ne... plus,Non risponde più alle domande.,Il ne répond plus aux questions.
Bloc 1 - Socle de terrain,17,Négation et restriction,non... ancora,pas encore,Non ha ancora preso le medicine di oggi.,Il n'a pas encore pris ses médicaments d'aujourd'hui.
Bloc 1 - Socle de terrain,17,Négation et restriction,senza,sans,È uscito senza il bastone ed è caduto.,Il est sorti sans sa canne et il est tombé.
Bloc 1 - Socle de terrain,17,Négation et restriction,"solo, soltanto",seulement,Sente dolore solo quando respira.,Il ressent la douleur seulement quand il respire.
